"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","nom_francais_canadien","nombre_espanol_mexicano","taxonomy_version","taxonomic_sort_order"
"grnjay",NA,"84","Cyanocorax yncas","Green Jay","Geai vert","Chara Verde",2021.01,20434
"pinjay",NA,"635","Gymnorhinus cyanocephalus","Pinyon Jay","Geai des pinèdes","Chara Piñonera",2021.01,20475
"stejay",NA,"7233","Cyanocitta stelleri","Steller's Jay","Geai de Steller","Chara Copetona",2021.01,20476
"blujay",NA,"62018","Cyanocitta cristata","Blue Jay","Geai bleu","Chara Azul",2021.01,20496
"x00622",NA,"4","Cyanocitta stelleri x cristata","Steller's x Blue Jay (hybrid)","Hybride Geai de Steller x G. bleu","Chara Copetona x Azul (híbrido)",2021.01,20502
"flsjay",NA,"151","Aphelocoma coerulescens","Florida Scrub-Jay","Geai à gorge blanche","Chara Floridana",2021.01,20503
"issjay",NA,"1","Aphelocoma insularis","Island Scrub-Jay","Geai de Santa Cruz","Chara de Santa Cruz",2021.01,20504
"cowscj1",NA,"3348","Aphelocoma californica","California Scrub-Jay","Geai buissonnier","Chara Californiana",2021.01,20505
"wooscj2",NA,"1208","Aphelocoma woodhouseii","Woodhouse's Scrub-Jay","Geai de Woodhouse","Chara de Collar",2021.01,20515
"wooscj1","wooscj2","2","Aphelocoma woodhouseii [woodhouseii Group]","Woodhouse's Scrub-Jay (Woodhouse's)","Geai de Woodhouse (groupe woodhouseii)","Chara de Collar (grupo woodhouseii)",2021.01,20516
"wesjay",NA,"26","Aphelocoma californica/woodhouseii","California/Woodhouse's Scrub-Jay","Geai buissonnier ou G. de Woodhouse","Chara Californiana/de Collar",2021.01,20526
"mexjay4",NA,"63","Aphelocoma wollweberi","Mexican Jay","Geai du Mexique","Chara Pecho Gris",2021.01,20527
"mexjay",NA,"45","Aphelocoma wollweberi/ultramarina","Mexican/Transvolcanic Jay","Geai du Mexique ou G. des volcans","Chara Transvolcánica/Pecho Gris",2021.01,20537
"scrjay",NA,"2889","Aphelocoma sp.","Aphelocoma sp.","Aphelocoma sp.","Aphelocoma sp.",2021.01,20544
"bkbmag1",NA,"4290","Pica hudsonia","Black-billed Magpie","Pie d'Amérique","Urraca de Hudson",2021.01,20682
"yebmag",NA,"187","Pica nuttalli","Yellow-billed Magpie","Pie à bec jaune","Urraca de Nuttall",2021.01,20683
"clanut",NA,"783","Nucifraga columbiana","Clark's Nutcracker","Cassenoix d'Amérique","Cascanueces Americano",2021.01,20690
"houcro1",NA,"1","Corvus splendens","House Crow","Corbeau familier","Cuervo Indio",2021.01,20725
"amecro",NA,"43700","Corvus brachyrhynchos","American Crow","Corneille d'Amérique","Cuervo Norteamericano",2021.01,20762
"fiscro",NA,"607","Corvus ossifragus","Fish Crow","Corneille de rivage","Cuervo Pescador",2021.01,20776
"chirav",NA,"39","Corvus cryptoleucus","Chihuahuan Raven","Corbeau à cou blanc","Cuervo Llanero",2021.01,20780
"crow",NA,"48","Corvus sp. (crow sp.)","crow sp.","Corneille sp.","Cuervo mediano/chico sp.",2021.01,20813
"comrav",NA,"7042","Corvus corax","Common Raven","Grand Corbeau","Cuervo Común",2021.01,20829
"raven",NA,"11","Corvus sp. (raven sp.)","raven sp.","Corbeau sp.","Cuervo grande sp.",2021.01,20838
"carchi",NA,"19819","Poecile carolinensis","Carolina Chickadee","Mésange de Caroline","Carbonero de Carolina",2021.01,21254
"bkcchi",NA,"56617","Poecile atricapillus","Black-capped Chickadee","Mésange à tête noire","Carbonero Cabecinegro",2021.01,21259
"x00195",NA,"8","Poecile carolinensis x atricapillus","Carolina x Black-capped Chickadee (hybrid)","Hybride Mésange de Caroline x M. à tête noire","Carbonero de Carolina x Cabecinegro (híbrido)",2021.01,21269
"y00033",NA,"13077","Poecile carolinensis/atricapillus","Carolina/Black-capped Chickadee","Mésange de Caroline ou M. à tête noire","Carbonero de Carolina/Cabecinegro",2021.01,21270
"mouchi",NA,"4592","Poecile gambeli","Mountain Chickadee","Mésange de Gambel","Carbonero Cejas Blancas",2021.01,21271
"x00623",NA,"4","Poecile atricapillus x gambeli","Black-capped x Mountain Chickadee (hybrid)","Hybride Mésange à tête noire x M. de Gambel","Carbonero Cabecinegro x Montañés (híbrido)",2021.01,21280
"chbchi",NA,"5238","Poecile rufescens","Chestnut-backed Chickadee","Mésange à dos marron","Carbonero Dorsicastaño",2021.01,21287
"borchi2",NA,"3684","Poecile hudsonicus","Boreal Chickadee","Mésange à tête brune","Carbonero Boreal",2021.01,21291
"gyhchi",NA,"2","Poecile cinctus","Gray-headed Chickadee","Mésange lapone","Carbonero Lapón",2021.01,21299
"chicka1",NA,"3","Poecile sp.","chickadee sp.","Poecile sp.","Poecile sp.",2021.01,21305
"britit",NA,"178","Baeolophus wollweberi","Bridled Titmouse","Mésange arlequin","Carbonero Embridado",2021.01,21337
"oaktit",NA,"2011","Baeolophus inornatus","Oak Titmouse","Mésange unicolore","Carbonero Encinero",2021.01,21342
"juntit1",NA,"834","Baeolophus ridgwayi","Juniper Titmouse","Mésange des genévriers","Carbonero de Juníperos",2021.01,21347
"y00326",NA,"855","Baeolophus inornatus/ridgwayi","Oak/Juniper Titmouse (Plain Titmouse)","Mésange unicolore ou M. des genévriers","Carbonero Encinero/de Juníperos",2021.01,21351
"tuftit",NA,"44856","Baeolophus bicolor","Tufted Titmouse","Mésange bicolore","Herrerillo Bicolor",2021.01,21352
"blctit4",NA,"775","Baeolophus atricristatus","Black-crested Titmouse","Mésange à plumet noir","Carbonero Cresta Negra",2021.01,21355
"bcxtit1",NA,"11","Baeolophus bicolor x atricristatus","Tufted x Black-crested Titmouse (hybrid)","Hybride Mésange bicolore x M. à plumet noir","Herrerillo Bicolor x Crestinegro (híbrido)",2021.01,21359
"y00327",NA,"20","Baeolophus bicolor/atricristatus","Tufted/Black-crested Titmouse","Mésange bicolore ou M. à plumet noir","Herrerillo Bicolor/Crestinegro",2021.01,21360
"gretit3","gretit1","1","Parus major [major Group]","Great Tit (Great)","Mésange charbonnière (groupe major)","Carbonero Común (común)",2021.01,21368
"verdin",NA,"505","Auriparus flaviceps","Verdin","Auripare verdin","Baloncillo",2021.01,21456
"horlar",NA,"228","Eremophila alpestris","Horned Lark","Alouette hausse-col","Alondra Cornuda",2021.01,21754
"horlar3","horlar","2","Eremophila alpestris [alpestris Group]","Horned Lark (Eastern dark Group)","Alouette hausse-col (groupe alpestris)","Alondra Cornuda (grupo alpestris)",2021.01,21772
"horlar1","horlar","2","Eremophila alpestris [strigata Group]","Horned Lark (Western rufous Group)","Alouette hausse-col (groupe strigata)","Alondra Cornuda (grupo strigata)",2021.01,21788
"skylar",NA,"2","Alauda arvensis","Eurasian Skylark","Alouette des champs","Alondra Común",2021.01,21905
"nrwswa",NA,"28","Stelgidopteryx serripennis","Northern Rough-winged Swallow","Hirondelle à ailes hérissées","Golondrina Alas Aserradas",2021.01,23172
"purmar",NA,"205","Progne subis","Purple Martin","Hirondelle noire","Golondrina Azulnegra",2021.01,23187
"purmar1","purmar","2","Progne subis subis/arboricola","Purple Martin (subis/arboricola)","Hirondelle noire (subis/arboricola)","Golondrina Azulnegra (subis/arboricola)",2021.01,23188
"martin1",NA,"1","Progne sp.","new world martin sp. (Progne sp.)","Progne sp.","Progne sp.",2021.01,23210
"treswa",NA,"492","Tachycineta bicolor","Tree Swallow","Hirondelle bicolore","Golondrina Bicolor",2021.01,23211
"manswa1",NA,"1","Tachycineta albilinea","Mangrove Swallow","Hirondelle des mangroves","Golondrina Manglera",2021.01,23217
"vigswa",NA,"136","Tachycineta thalassina","Violet-green Swallow","Hirondelle à face blanche","Golondrina Verdemar",2021.01,23221
"banswa",NA,"5","Riparia riparia","Bank Swallow","Hirondelle de rivage","Golondrina Ribereña",2021.01,23242
"barswa",NA,"156","Hirundo rustica","Barn Swallow","Hirondelle rustique","Golondrina Tijereta",2021.01,23291
"barswa2","barswa","1","Hirundo rustica rustica","Barn Swallow (White-bellied)","Hirondelle rustique (rustica)","Golondrina Tijereta (rustica)",2021.01,23292
"barswa5","barswa","1","Hirundo rustica erythrogaster","Barn Swallow (American)","Hirondelle rustique (erythrogaster)","Golondrina Tijereta (erythrogaster)",2021.01,23299
"cliswa",NA,"28","Petrochelidon pyrrhonota","Cliff Swallow","Hirondelle à front blanc","Golondrina Risquera",2021.01,23383
"cavswa",NA,"4","Petrochelidon fulva","Cave Swallow","Hirondelle à front brun","Golondrina Pueblera",2021.01,23391
"cavswa3","cavswa","1","Petrochelidon fulva pallida","Cave Swallow (Texas)","Hirondelle à front brun (pallida)","Golondrina Pueblera (pallida)",2021.01,23397
"swallo",NA,"5","Hirundinidae sp.","swallow sp.","Hirondelle sp.","Golondrina sp.",2021.01,23450
"revbul",NA,"13","Pycnonotus cafer","Red-vented Bulbul","Bulbul à ventre rouge","Bulbul Cafre",2021.01,23648
"rewbul",NA,"23","Pycnonotus jocosus","Red-whiskered Bulbul","Bulbul orphée","Bulbul Orfeo",2021.01,23658
"woowar",NA,"1","Phylloscopus sibilatrix","Wood Warbler","Pouillot siffleur","Mosquitero Silbador",2021.01,23933
"palwar5",NA,"2","Phylloscopus proregulus","Pallas's Leaf Warbler","Pouillot de Pallas","Mosquitero de Pallas",2021.01,23950
"bushti",NA,"4844","Psaltriparus minimus","Bushtit","Orite buissonnière","Sastrecillo",2021.01,24372
"bushti1","bushti","1","Psaltriparus minimus [minimus Group]","Bushtit (Pacific)","Orite buissonnière (groupe minimus)","Sastrecillo (grupo minimus)",2021.01,24373
"bushti2","bushti","2","Psaltriparus minimus plumbeus","Bushtit (Interior)","Orite buissonnière (plumbeus)","Sastrecillo (grupo plumbeus)",2021.01,24379
"wrenti",NA,"163","Chamaea fasciata","Wrentit","Cama brune","Camea",2021.01,24546
